title,category,spec,price
EBM PAPST NADI FAN DEALER IN HARYANA NEW DELHI UP RAJASTHAN PUNJAB,"AC Axial Fan,Axial Fans","Speed==1500 rpm,Size==4-36 INCH,Color==Black,Type==Air Cooling Fan,Material==Metal,Voltage==230 VAC,Power Source==Electric,Air Volume==60-1000 CMH",2150
DELTA FFB0624EHE 24VDC 0.57A DRIVE COOLING FAN,"DC Cooling Fan,DC Brushless Fan","Rated input [W]==13.68WATTS,Dimensions==60x60x38mm,Bearing==Ball Bearing,Material==ABS,Wires==2/3/4 Wires,Voltage==24VDC,Brand==Delta",490
12V 1.5inch 40mm DC Cooling Fan (Multiple Sizes And Brands),"DC Cooling Fan,Cooling Fans,DC Brushless Fan","Speed==>3000 rpm,Type==Air Cooling Fan,Voltage==12v,Usage/Application==For cooling purpose,Power==A,Color==Black,Material==Plastic,Model Name/Number==1.5Inch (40mm)",80
Automatic Cow Dung Dewatering Machine,"Cow Dung Dewatering System,Liquid Separators,Dewatering Screw Press Machine","Capacity==1 ton/hr,Power==5 HP,Number Of Screws==1,Brand==Yes Square,Phase==Three Phase,Power Source==Electric,Voltage==420 V,Number of Wheel==4 Wheel,Operating Mode==Manual,Speed==1400 RPM,Country of Origin==Made in India,Material==Stainless Steel,Automation Grade==Automatic,Body Material==Mild Steel",295000
3/4 inch Heavy Duty Pvc Garden Pipe,"PVC Garden Pipe,Industrial Hoses","Brand==JOLO,Color==Yellow,Packaging Type==Plastic Wrap,Country of Origin==Made in India,Size==3/4 inch",100
Stainless Steel Turbo Ventilator Manufacturer And Supplier In Gandhidham,Turbo Ventilator,"Material==Stainless Steel,Size==24 inch,Product Type==Air Vent,Place Of Origin==Pan India,Type==Air Ventilator,Usage/Application==Industrial,Brand==AIRWELL,Model Name/Number==Model Gold,Number Of Vanes==42 no.,Weight==6.0 Kg (appxo.),I Deal In==New Only,Country of Origin==Made in India",3700
PUF Sandwich Panel,"PUF Sandwich Panel,PUF Insulated Panels","Usage/Application==Roofing,Brand==Epack,Surface Treatment==Color Coated,Material==PUF,Color==Multi color,Customisation==Customised,Country of Origin==Made in India",1200
100% Quality Commitment Agriculture Battery Sprayer Pump With Lithium Ion Battery,"Agricultural Sprayer Pump,Pressure Sprayer,Battery Spray Pump","Usage/Application==Agriculture,Brand==FORTUNE,Model Name/Number==LITHIUM BATTERY SPRAYER,Material==HDPE,Size==460/510/207,Pump Type==DIAPHRAM PUMP,Product Type==AGRICULTURAL PRODUCT,Color==ORANGE/ BLACK,Capacity==16LTRS,Country of Origin==Made in India",1850
"5 mm dia N35 Neodymium Power Magnet, Thickness: 4 mm",Neodymium Magnets,"Shape==Bar (Block),Applications==Magnetic Separators / Lifting Apparatus / Magnetic Clamps,Plating / Coating==Zinc,Colour==Silver,Maximum Working Temperature==100 Deg. C,Dimensions==5 mm dia,Thickness==4 mm,Material==Neodymium,Magnet Grade==N35",2
"10 mm dia Neodymium Magnet Disc, Thickness: 2 mm, N35","Neodymium Magnets,Neodymium Disc Magnet","Diameter==2 mm,Thickness==2 mm,Material==Neodymium,Applications==Toys / Magnetic Tools / Gifts & Packaging,Type==Neodymium,Brand==Magnetyz,Shape==Round,Dimensions==10 mm dia,Magnet Grade==N35",2
Centoplex Glp 202 Bh Kluber Grease,Kluber Grease,"Grade==Industrial,Usage/Application==To Protect Against Water Ingress and Provides Rust Protection\, as Well as Reducing Friction,Odour==Odourless,Eco-Friendly==Yes,Colour==Brown,Packing Type==Drum,Size==30 kg,Model Name/Number==CENTOPLEX GLP 202 BH,Form==Kluber",600
Build-tech Engineering 3 Ph 25 Ton Electric Wire Rope Winch Machine,"Electric Rope Winch,Crane Winches","Capacity==25 ton,Brand==Build-tech Engineering,Usage/Application==Auto\, Cranes\,lifting\, pulling\,hoisting,Phase==3 pH,Power Source==Electric,Frequency==60 Hz,Voltage==220-440 V",900000
"Full Synthetic 20W40 ENGINE OIL FROM ALIGARH, Bottle Of 900 ML","Four Stroke Engine Oil,Bike Engine Oil","Vehicle Type==Bike,Brand==LUBRANTA.,Vehicle Brand==ALL BRAND BIKE IN USE THIS OIL.,Country of Origin==Made in India,Viscosity==20W40,Packaging Size==Bottle of 900 mL,Engine Oil Type==Full Synthetic",375
"Aluminium Roof Top Ventilator Supplier In Chennai, For Ventilation","Roof Ventilators,Wind Turbine Ventilators","Product Type==Roof Top,Driven Type==Non Power Driven,Automation Grade==Automatic,Size==24,Mounting==Roof Top,Shape==Round,Material==Aluminium,Usage/Application==Ventilation",3500
7.5HP V9 Openwell Submersible Pump,"Open Well Submersible Pump,V6 Submersible Pump,Horizontal Submersible Pump","Type==Horizontal,Motor Phase==Three Phase,Motor Power==5.59 Kw,Discharge Outlet Size==1900 LPM,Voltage==440 V,Material==SS,Warranty==24 Months,Power==7.5 hp",11000
Sunon Dc cooling fan,DC Cooling Fan,"Speed==>3000 rpm,Size==4 inch,Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==12v\, 24v & 48v,Usage/Application==Electronic Circuits",100
Plastic Chemicals Acid Storage Tanks,Acid Storage Tanks,"Color==Black & White,Warranty==1 Year,Storage Type==Chemical And Acid,Usage/Application==Acid And Chemical Storage,Brand==Deepak Plastic.com",9
"White Grinded PP Bucket Scrap Grinding, Packaging Type: Plastic Bag",PP Scrap,"PP Content==96- 100%,Color==White,Processed Scrap Form==Grinded,Packaging Type==Plastic Bag,Usage/ Application==Recycling Industry,Scrap Source==PP Bags,Packaging Size==30 kg,Moisture Content==.06- 1.0%,Thickness (mm/ cm)==15 mm,Density==High,Brand==PET Scrapwala,Material==PP,Country of Origin==Made in India",48
ESAB Combirex CXL ISeries Plasma System,"CNC Plasma Cutting Machine,Esab Plasma Cutting Machine","Track Width==4500mm,LCD==18.5"" color LCD,Plasma power sources==ESAB iSeries 100i,Track Length==Upto 18000mm,Cutting Method==Plasma,Brand==ESAB,Model==Combirex CXL iSeries",5300000
3D Jewellery Scanner,"3D White Light Scanner,3D Laser Scanner,3D Scanning Services","3D scanning area (FOV)==120 mm,Brand==Solutionix,Camera resolution==2.0 MP,Interface==USB 3.0 B type,Light source==Blue LED,Model Number==D 500,Power==100-240 V\, 47-63 Hz,Scanner Type==Jewellery 3D Scanner,Weight==12 kg",550000
"Polypropylene Cartridge Electroplating filter 20"" 1 Nos","Electroplating Filter,Chemical Filters","Usage/Application==Chemical filtering while plating,Brand==Adil Industries,Delivery==World Wide,Voltage==380 - 440 Volts,Country of Origin==Made in India,Material==Polypropylene",15000
Flat Bike Rope,Bike Rope,"Length==10 meter,Color==Multicolor,Usage/Application==Luggage holding,Country of Origin==Made in India,Size/Diameter==20 mm,Diameter==15 mm",25
Glass Fibre Hydraulic Oil Filters In Parichha Jhansi Uttar Pradesh,Hydraulic Oil Filters,"Diameter==4 inch,Filter Type==HYDRAULIC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters Manufacturers In Bhagalpur Bihar India,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 to 200 micron,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Airotec Turbo 1500L,Tractor Mounted Sprayers,"Tank Capacity==1500l,Brand==Mitra Agro,Power Source==Tractor,Flow Rate==75LPM,Model Name/Number==Airotec Turbo 1500lt,1==Govt. Subsity Avaiable,2==Doorstep Service & 1 Year Warranty,3==Loan facility Available,4==Chemical\, Labour & Time Saving,Country of Origin==Made in India",625000
50 Meter 1 HP Submersible Sewage Heavy Duty Pump,Submersible Sewage Pumps,"Usage/Application==Agriculture,Max Flow Rate==180LPH,Material==Mild Steel,Phase Type==Three Phase,Voltage==440V,Frequency==60Hz,Head==50 Meter",8000
Viraat Puf Sandwich Panel In Telangana,"PUF Sandwich Panel,Puf Sheets,Sandwich Panels","Sheet Thickness==30 mm,Size==upto 14 m,Density==40+- 2kg/m3,Country of Origin==Made in India,Material==PUF",950
"Dolphin Plain Plastic Twine, For Packaging","Plastic Twine,Packaging Ropes","Usage/Application==Packaging,Brand==Dolphin,Color==Red\, Blue\, Green\, etc,Packaging Type==Net Bag,Country of Origin==Made in India",100
50 Meter Submersible Drainage Pump,"Submersible Sewage Pumps,Drainage Pumps","Power==2 HP,Usage/Application==Draining water\, reducing groundwater\, pumping groundwater to be used as drinking,Temperature==45 c,Voltage==250/440,Motor Phase Type==3 Phase,Speed==3000RPM,I Deal In==New Only,Head==50 Meter",11738
"Sumo Black Plastic Twine, For Packaging","Plastic Twine,Packaging Ropes","Material==Plastic,Usage/Application==Packaging,Brand==Sumo,Filament Type==Monofilament,Color==Black,Packaging Type==Packet,Country of Origin==Made in India",72
"Dolphin Plastic Twine, For Packaging","Plastic Twine,Twine","Usage/Application==Packaging,Brand==Dolphin,Packaging Type==Net Bag,Country of Origin==Made in India",100
Yellow Block CV60 Natural Rubber,Natural Rubber,"Form==Block,Grade==CV60,Color==Yellow,Temperature==120 Degree Celsius,Hardness==80 HRC,Packaging Type==Bag,Material==Rubber,Volatile Matter==0.80%,Mooney Viscosity==65 ML (1+4) 100 Degree Celsius,Nitrogen==0.60%,Packaging Size==25 kg,Ash Content==0.60%",
"Wolfram Winner Tungsten Electrode, Size: 1-10 mm Dia",Tungsten Electrodes,"Brand==Wolform Winner,Length==150-350 mm,Pieces Per Box==10,Grade==Thoriated\,Ceriated\,Lanthinated\,Zirconated\,Pure\,Gold Plus,Color==Red\, Silver\, etc,Material==Tungsten,Size==1-10 mm Dia",80
Two Phase Submersible .Pump,Submersible Pump,"Power==7.5 HP,Discharge Range==150 LPM,Number Of Stages==Multi Stage Pump,Type==Borewell,Head==50 m",22800
White FRP Rod,FRP Rods,"Size==4 mm to 32 mm,Usage/Application==Flag Stick And Other Areas,Brand==Sinewy,Features==Light Wight,Material==FRP,Color==White",198
Sinewy FRP Tent Rod 8mm to 12 mm,FRP Rods,"Material==FRP,Usage/Application==Out door Tent\,Agriculture\,Home,Brand==Sinewy,Color==Yellow,Is It Waterproof==Waterproof,Surface Finishing==Smooth finshed,Thickness==4-12 mm",30
PU Iron Revolving Six Wheel Caster,"Six Wheel Caster,Furniture Casters","Color==White\,Orange,Size==48mm,Wheel Movement==Swivel,Locking==Without Brake,Model==A/06,Packing Type==Box,Finishing==Powder Coating,Brand==Ackwheel,Plate Guage==14 Gauge,Material==Iron,Wheel Material==PU",536
FRP Tools Handle Rod,"FRP Rods,Fiberglass Rod","Length==5 ft,Size==1 ft,Size/Dia==20 mm,Shape==Round,Grade==Fiber Glass Reinforce Composite Polymers as corrosion ressitance,Brand==Sinewy,Color==Multicolor,Finish==Smooth,Usage/Application==Tool Handle\,Hammer Handle,Features==Long Life,Country of Origin==Made in India,Material==FRP",135
"Greenish,White ECR Pultruded Rod, Grade: Electrical Resistance, Size: 8 mm To 38 mm","FRP Rods,Fiberglass Rod,FRP Products","Size==8 mm to 38 mm,Material==ECR Grade Fiber Glass Epoxy Rod,Brand==Sinewy,Is It Waterproof==Waterproof,Grade==Electrical resistance,Technique==Pultrusion,Surface Treatment==Smooth,Is It Anti Corrosive==Anti Corrosive,Features==Long Life,Usage/Application==Electrical Insulator,Color==Greenish\, White",144
Glass Fibre Taisei Kogyo Filter Ghaziabad,Hydraulic Oil Filters,"Country of Origin==Made in India,Filter Medium Material==Glass Fibre",1288
"50 Hz Indo Force Slurry Pump, 445 V, 3000 Lpm",Slurry Pumps,"Brand==Indo Force,Max Flow Rate==3000 LPM,Model Name/Number==IFVS 10.0,Frequency==50 Hz,Voltage==445 V,Usage/Application==For Slurry,Material==MS,Motor Power==10.0 HP,Country of Origin==Made in India",75000
3 mm Round White Asbestos Rope,Asbestos Rope,"Rope Type==Braided,Packaging Type==Roll,Diameter==3 mm,Rope Shape==Round,Color==White,Product Material==Asbestos",200
"Multicolor NYLON NOSE ROPE, 50-100 m/reel, 1 mm","Nylon Rope,Polypropylene Rope","Length==50-100 m/reel,Color==Multicolor,Size/Diameter==1 mm,Diameter==1-10 mm,Filament Type==Monofilament,Rope Type==Twisted,Strand Structure==6 Ply,Raw Material==Virgin Nylon,Rope Shape==Round,Packaging Type==Bundle,Usage/ Application==AGRICALUTURE",230
"2410 ML- 05W- B60, NMB Cooling Fan",Cooling Fans,"Type==Air Cooling Fan,Blower Type==Brushless,Color==Black,Material==Metal,Voltage==24 Volt Dc,Size==60 x 60 x 25 Mm,Usage/Application==Drive\, plc \, Hmi \, ups,Power==0.17 Amp",850
"Wall Mount Racks, 50-100 Kg",Wall Mount Racks,"Material==Mild Steel,No. of Shelves==6 Shelves,Color==White,Capacity==50-100 Kg,Rack Unit==6U,Finishing==Powder Coated,Manufacture==Pan India",3600
"Mild Steel 100 PSI Cement Grouting Pump, For Industrial","Electric Cement Grouting Pump,Grout Pumps","Usage/Application==INDUSTRIAL,Material==Mild Steel,Model Name/Number==GROUTING PUMP,Surface Finish==Paint coated,Maximum Discharge Flow==100 PSI \, 200 PSI \, 140 PSI \, 40 PSI,Country of Origin==Made in India",3200
NMB 2406GL-05W-B59 24VDC Cooling Fan,"DC Cooling Fan,Cooling Fans,DC Brushless Fan","Speed==>3000 rpm,Size==3 inch,Type==Air Cooling Fan,Voltage==24VDC,Usage/Application==For cooling purpose,Color==Black,Material==Plastic",130
"SS./MS. Diesel Alfa Laval Oil Separator MAPX 207, Capacity(LPH): 1000","Oil Purifier,Oil Separator,Oil Centrifuging Machine","Capacity==3500 To 5000 LPH,Capacity(LPH)==1000,Automatic Grade==Semi-Automatic,Model==MAPX 207\,MOPX207,Size/Dimension==Avl On Request,Power Consumption==380/440 Volt 50/60Hz. 3 Phase,Purifiers Type==Diesel,Brand==Alfa Laval,Material==SS./MS.",220000
Youngman ALUMINUM WALL SUPPORT 09 STEP Straight Ladder,Step Ladders,"Height of Ladder (Closed) mm==2700,Maximum Standing Height (mm)==1593.9,Open Length (mm)==2700,Weight of Ladder (mm)==8.64,Country of Origin==Made in India",
"Industrial Coolant Pump, For CNC Machines",Coolant Pumps,"Power==1 HP,Material==Orignal,Color==Black,Country of Origin==Made in India,Usage/Application==CNC Machines",28000
"Black Drive Fan Nmb 2410ml-05w-b39 24 Vdc 0.10 A, For Industrial Cnc Machines, Size: 60 X 60 X 25","Cooling Fans,Direct Drive Fans","Type==DRIVE FAN,Voltage==24 V,Size==60 X 60 X 25,Usage/Application==INDUSTRIAL CNC MACHINES,Model Name/Number==NMB 2410ML-05W-B39,Power==24 V,Color==Black,Power Source==Electric,Material==Plastic,I Deal In==New Only,Brand==NMB",1350
Drive Fan SUNON KDE 120PFV1 Dc 12V 1.1W (White Connector),DC Cooling Fan,"Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==12 VOLT,Usage/Application==INDUSTRIAL USE,I Deal In==New Only,DIMENSIONS==40*40*10",1500
Air Assisted Orchard Sprayer,"Tractor Mounted Sprayers,Vehicle Mounted Sprayer","Power Source==tractor,2==Doorstep Service & 1 Year Warranty,3==Loan Facility Avaiable,4==Chemical\, Labour & Time Saving,Fan==550MM,1==Govt. Subsity Avaiable,Pump==55LPM,Country of Origin==Made in India",275000
FUEL PUMP ASSEMBLY FOR VERNA FLUDIC,Fuel Pump Assembly,"Material==ABS Plastic,Max Flow Rate==150 LPM,Color==White (Base),Is It Rust Proof==Rust Proof,Usage/Application==Increase Pressure Of Fuel Flow,Automation Grade==Semi Automatic,Country of Origin==Made in India",5000
Welded Wire Mesh,"Welded Wire Mesh,GI Wire Mesh","Thickness==12 Gauge (2.68 mm),Material==Galvanised Iron,Hole Shape==Square,Surface Treatment==Hot Dipped Galvanized,Color==Silver,Usage/Application==Reinforcement,Usage/Application==Building construction,Usage/Application==Fencing,Usage/Application==Making Frames,Usage/Application==Masonry Mesh",60
Galvanized Weld Wire Mesh,"Welded Wire Mesh,GI Wire Mesh","Thickness==16 Gauge (1.58 mm),Material==Galvanised Iron,Opening Size==1/2 Inch,Hole Shape==Square,Surface Treatment==Hot Dipped Galvanized,Color==Silver,Usage/Application==Building construction,Usage/Application==Fencing,Usage/Application==Making Frames",75
Expert 5 Drawer Roller Cabinet,"Roller Cabinet,Tool Cabinets,Tool Trolley","Drawer storage volume==123 L,Dimension==679X459X860mm,Drawer load==20kg,Storage volume==16.87 L,Total drawer load==110kg,No of Drawers==5,Brand==Expert",
Stanley STST74420-8 5 Drawer Eco Roller Cabinet,Roller Cabinet,"Mounting Type==Wall Mount,Finish Type==Powder Coated,Product Material==Metal,Wheel Type==Roller Castor Wheels,No of Drawers==5,Brand==Stanley,Model Name/Number==STST74420-8",
Gray Stanley STST74423-8 6 Drawer Eco Roller Cabinet,Roller Cabinet,"No of Drawers==6,Finish Type==Powder Coated,No. of Drawers==6,Mounting Type==Wall Mount,Color==Gray,Brand==Stanley,Model Name/Number==STST74423-8,Type of Product==Eco Roller Cabinet",
Red Stanley STST74422-8 5 Drawer Eco Roller Cabinet,Roller Cabinet,"Finish Type==Powder Coated,Mounting Type==Wall Mount,No of Drawers==5,Color==Red,Brand==Stanley,Model Name/Number==STST74422-8,Type of Product==Eco Roller Cabinet",
Fuel Pump Assembly Maruti Ertiga Diesel,Fuel Pump Assembly,"Material==ABS Plastic,Max Flow Rate==150 LPM,Color==White (Base),Is It Rust Proof==Rust Proof,Usage/Application==Increase Pressure Of Fuel Flow,Automation Grade==Semi Automatic,Country of Origin==Made in India",4800
Aahaan NEATO Anti Microbial Water Tanks 3000,Water Storage Tanks,"Storage Capacity==3000 Litre,Material==LLDPE,Usage/Application==Home,FEAUTURE==ANTI VIRAL + ANTI FUNGAL + ANTI ALGAE + ANTI BACTERIAL,Country of Origin==Made in India",
"Boiler Feed Pump, For Industrial",Boiler Feed Pumps,"Capacity(m3/hr)==300,Model Name/Number==LEAKLESS,Material==ALLOY20,Brand==LEAKLESS,Country of Origin==Made in India,Usage/Application==Industrial",18000
5 mm Down Micro Polyester Wadding,"Polyester Wadding,Polyfill Sheet","Pattern==Plain,Color==White,Packaging Type==Roll,Brand==Ramanand Industries,Thickness==5mm,Material==Polyester",56
"Single Phase Horizontal Sakthi Brand Openwell Submersible Pump, Power: 1 hp",Open Well Submersible Pump,"Motor Phase/Stage==Single Phase,Country of Origin==Made in India,Power==1 hp,Motor Phase==Single Phase,Type==Horizontal",9500
Raised Expanded Metal Sheet,Expanded Metal Mesh,,
Boiler Centrifugal Air Blower,"Centrifugal Blowers,Industrial Air Blower","Blower Type==Centrifugal Blower,Pressure==Low Pressure,Power Source==Electric Blower,Blade Material==Cast Iron,Power==1 HP TO 100,Usage/Application==Industrial,Capacity==6000 m3/hr,Frequency==50Hz,Surface Treatment==Polished,Voltage==340 V,Phase==Three Phase,Brand==Harsh Engineering,Country of Origin==Made in India",20000
Kitchen Exhaust Blower,"Exhaust Blowers,Draft Fan","Type==Centrifugal Fan,Fan Speed==customised,Power==440 V,Material==MILD STEEL \,STAINLESS STEEL,Impeller Size==CUSTOMISED,Capacity==CUSTOMISED,Current Type==THREE PHASE,Payment Terms==ADVANCE,Phase==THREE PHASE",28000
Thermoking Reefer Container,"Refrigerated Containers,Portable Cold Storage,Cold Storage Rooms","Container Length==20 feet,Storage Capacity==10-20 ton,Container Type==Reefer Container,Material==Stainless Steel,Inside Cubic Capacity==1000,I Deal In==New and Second Hand",1200000
AlmightyFila - ABS 3D Printer Filament 1.75mm Green,"3D Printer Filament,3D Prototype Printing Services","Melt Flow Index==1.19 g/10 min,Print Temperature==220 - 260 Deg C,Melting Temperature==220 - 250 Deg C,Length==330 meters,Non Toxic==Yes,Vacuum Packed==Yes,Bio-Degradable==No,Filament Weight==1 Kg,Glass Temp==90 ~ 100 Deg C,Nozzle Temp==230 ~ 250 Deg C,Baseplate Temp==90 ~ 100 Deg C,Melt Point==250 Deg C,Nozzle Cooling Fan==0 ~ 20%,Surface Finish==Smooth,Country of Origin==Made in India,Material==ABS,Filament Diameter==1.75 mm,Filament Color==Green,Brand==AlmightyFila",650
"PP White Polypropylene Water Filter, For Commercial, Capacity: 5 Mic","PP Filter Cartridge,Water Purifiers","Material==PP,Brand==INDIAN,Usage/Application==Commercial,Color==White,Capacity==5 MIC,Automation Grade==Manual,Design==CANDLE TYPE,Mounting Type==VERTICAL,Power Source==NA,Features==WHITE FINE PP HARD OR SPUN",110
GPPL Pdms GP 171-1 Silicone Grease For Release Agent,"Silicone Grease,Silicone Lubricants","Brand==GPPL,Grade==GP 171-1,Usage/Application==Release Agent,Base Oil==PDMS,Packaging Size==5-20 Kg,Packaging Type==Bucket,Self life==1 Year",1500
Slotted Perforated Sheet Metal,"Mild Steel Perforated Sheet,Perforated Metal Sheets","Material==Mild Steel,Hole Shape==Rectangular,Hole Size==20 mm,Sheet Size (W X L)==4 X 8 feet,Surface Finish==Powder Coated,Open Area %==30%,Punching Type==Conventional",85
HDPE Open Mouth Drum,"HDPE Drums,Open Top Drum,Drum Liners","Storage Material==HDPE LINERS,Color==black,Material==HDPE,Roll Width==Standard,Thinkness==Standard",
Mild Steel Industrial Storage Rack,Industrial Storage Rack,"Load per layer==500,Is It Portable==yes,Movable Shelf==yes,Height==15 ft,Surface Treatment==Powder Coating,Brand==Hind Tara,Feature==Rust proof,Capacity==5 ton,Country of Origin==Made in India",92
Un Approved Jerry Can,UN Approved Packaging Drum,"Storage Capacity==35 L,Color==Blue,Usage/Application==Packaging Industry,No Of Mouth==1 x 02 Inch,Storage Material==Chemicals,Packaging Type==Single Loose,Capacity==0-50 litres,25 Litre HDPE Jerrican==Tare Weight: 1.7 kg",750
PGSA2Z FFC1224DE Size 120X120X38 DC24V 1.50A 3500RPM Brushless Air Cooling Fan,"DC Cooling Fan,Cooling Fans","Speed==>3000 rpm,Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==24V,Usage/Application==Application: Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbecu,Power==36W,Power Source==Battery,Air Volume==1300,Design Type==FAN,Radiator Type==DC COOLING FAN,Current==1.50A",850
PGSA2Z PFB0924DHE Size 92X92X38mm DC24V 1.74A 8000RPM Brushless Air Cooling Fan,"DC Cooling Fan,Cooling Fans","Color==Black,Material==Plastic,Voltage==24V,Usage/Application==Application: Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbecu,Power==41.76W,Power Source==Battery,Air Volume==175.0CFM,Design Type==FAN,Radiator Type==DC COOLING FAN,Current==1.74A",750
PGSA2Z AUB0812L Size 80X80X25mm DC12V 0.14A 4000RPM Brushless Air Cooling Fan,DC Cooling Fan,"Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==12V,Usage/Application==Application: Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbecu,Power==1.68W,Power Source==Battery,Air Volume==950,Design Type==FAN,Radiator Type==DC COOLING FAN,Current==0.14A",180
"Petrol Engine Water Pump, 7.5 HP","Petrol Engine Water Pump,Gasoline Water Pump","Material==Brass,Motor Phase==Single Phase,Power Source==Petrol,Engine Type==212CC,Automation Grade==Semi Automatic,Fuel type==Petrol,Color==multi colour,Type Of End Use==Agricultural,Power==7.5 HP,Engine Horsepower==7.5",7500
"Top Down Dlp With Viper Jewellery, Dental, Audiology, Engineering TOP-Down CAM 3D Printer, Zeta Controller","Wax 3D Printer,CAD CAM Machine,DLP 3D Printer","Industry==Jewellery\, Dental\, Audiology\, Engineering,Technology==Top Down DLP with viper,Software Supporting==Zeta controller,Automatic Grade==Automatic,File Format Supported==STL,Build Size==144 x 81 mm,Brand==3Dware",850000
"Circular Rubber Bellow, For Industrial","Rubber Bellow,Rubber Joints,Rubber Expansion Bellows","Hardness==40 Shore,Color==Black,Design==Round,I Deal In==New Only,Country of Origin==Made in India,Usage/Application==Industrial,Model Name/Number==Circular Rubber Bellow",1476
3615KL-04W-B96 Size 92x92x38mm DC12V 2.50A 6000RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Type==Air Cooling Fan,Voltage==Dc 12V,Size==92x92x38mm,Usage/Application==Suitable for 3D printers \, Makerbot accessories \, Computer CPU cooler etc \, BBQ Barbecue S,Model Name/Number==3615KL-04W-B96,Power==30W,Color==Black,Material==Plastic,Power Source==Battery,Air Volume==160.22 CFM,Speed==6000RPM,Current==2.50A,Brand==Delta",820
7.2W Air Cooling Fan AFB0812SH-AA38 80x80x25 mm DC 12V,"DC Cooling Fan,DC Brushless Fan","Type==Air Cooling Fan,Voltage==12V,Size==80x80x25mm,Model Name/Number==AFB0812SH-AA38,Power==7.2W,Color==Black,Material==Plastic,Power Source==Battery,Speed==4600RPM,Current==0.60A,Brand==DELTA",320
"27.24W GFC0412DS Server - Square Fan -CC50, 40x40x56mm, DC 12V 1.20A (Black)","DC Cooling Fan,Server Fan,DC Brushless Fan","Type==Air Cooling Fan,Voltage==DC12V,Size==40mm L X 40mm H,Usage/Application==Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc.,Model Name/Number==GFC0412DS,Power==27.24W,Color==Black,Material==Plastic,Power Source==Battery,Air Volume==37.61CFM,Speed==23000RPM,Current==2.27A,Brand==DELTA",680
MGT6012UB-025 Size 60x60x25mm DC12V 0.35A 7100RPM Brushless Air Cooling Fan,"DC Cooling Fan,Cooling Fans,DC Brushless Fan","Voltage==Dc 12V,Size==60x60x25mm,Usage/Application==Suitable for 3D printers. Maker bot accessories. Computer CPU cooler etc. BBQ Barbecue S,Model Name/Number==MGT6012UB-025,Power==4.2W,Color==Black,Material==Plastic,Power Source==Battery,Speed==7100RPM,Current==0.35A,Brand==DELTA",270
PGSA2Z GFB0912EHG Size 92X92X50mm DC12V 2.10A 4900RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==12V,Usage/Application==Application: Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbecu,Power==25.2W,Power Source==Battery,Air Volume==121.97CFM,Design Type==FAN,Radiator Type==DC COOLING FAN,Current==2.10A",750
PFC0612DE-7Q1F 60x60x38mm DC12V 1.68A 12500 RPM Brushless Air Cooling Fan,"DC Cooling Fan,Cooling Fans,Server Fan","Speed==12500 RPM,Type==Air Cooling Fan,Color==Black,Material==Plastic,Model Name/Number==PFC0612DE-7Q1F,Voltage==DC 12V,Size==60x60x38mm,Usage/Application==Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc.,Power==20.16W,Power Source==Battery,Air Volume==2.01m3/min,Current==1.68A,Brand==DELTA",600
AFB0712HB Size 70x70x15mm DC12V 0.33A 3800RPM Brushless Air Cooling Fan,"DC Cooling Fan,Cooling Fans,Server Fan","Type==Air Cooling Fan,Voltage==12V,Size==70x70x15mm,Usage/Application==Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc.,Model Name/Number==AFB0712HB,Power==3.96W,Color==Black,Material==Plastic,Power Source==Battery,Air Volume==33.2CFM,Speed==3800RPM,Current==0.33A,Brand==DELTA",270
PFC0812DE 12V 3.30A 4-Wire 4Pin Pwm Double Ball Large Air Volume Violent Cooling Fa,"DC Cooling Fan,Cooling Fans,Server Fan","Type==Air Cooling Fan,Voltage==DC12V,Size==80 x 80 x 38mm,Usage/Application==Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbecue St,Model Name/Number==PFC0812DE,Power==39.6W,Color==Black,Material==Plastic,Power Source==Battery,Current==3.30A,Brand==DELTA",650
