SEARCH KEYWORD,MODIFIED KEYWORD,QCR KEYWORD,ATTRIBUTE EXTRACTION FLAG,SOLR EXECUTION,SOLR STATUS,ALFA EXECUTION,ALFA STATUS,MARS EXECUTION,MARS STATUS,MERI EXECUTION,MERI STATUS,CHATGPT EXECUTION,CHATGPT STATUS,ENSEMBLE RUN,SOLR_INFO,ALFA_INFO,MARS_INFO,MERI_INFO,CHATGPT_INFO,ID 1,NAME 1,MCAT_ACCURACY_LEVEL 1,ID 2,NAME 2,MCAT_ACCURACY_LEVEL 2,ID 3,NAME 3,MCAT_ACCURACY_LEVEL 3,ID 4,NAME 4,MCAT_ACCURACY_LEVEL 4,ID 5,NAME 5,MCAT_ACCURACY_LEVEL 5
Steel Stool,steel stool,Steel Stool,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 18725   |   Steel Stool   |   High || 145671   |   Stainless Steel Stool   |   Medium || 18717   |   Steel Furniture   |   Medium || 186948   |   MS Stool   |   Medium ],alfa-info: [ 18725   |   steel stool   |   High ],mars-info: [ 18725   |   Steel Stool   |   High ],[],[],18725,Steel Stool,High,145671,Stainless Steel Stool,High,18717,Steel Furniture,Medium,186948,MS Stool,Medium,8153,Medical and Doctor Stool,Low
Desert Air Cooler,desert air cooler,Desert Air Cooler,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 164615   |   Desert Air Cooler   |   High || 21384   |   Air Coolers   |   Medium || 200056   |   Clarion Air Cooler   |   Medium || 193747   |   Blue Star Air Cooler   |   Medium || 655723   |   Summercool Air Cooler   |   Medium || 207281   |   Vaayu Air Cooler   |   Medium || 205165   |   Butterfly Air Cooler   |   Medium ],alfa-info: [ 164615   |   desert air cooler   |   High ],mars-info: [ 164615   |   Desert Air Cooler   |   High ],[],[],164615,Desert Air Cooler,High,21384,Air Coolers,Medium,200056,Clarion Air Cooler,Medium,207281,Vaayu Air Cooler,Medium,205165,Butterfly Air Cooler,Medium
Eveready LED Bulb,eveready led bulb,Eveready LED Bulb,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 178717   |   Eveready LED Bulb   |   High || 30613   |   LED Bulb   |   High || 205947   |   Eveready Ceiling Lights   |   Medium ],alfa-info: [ 178717   |   eveready led bulb   |   High ],mars-info: [ 178717   |   Eveready LED Bulb   |   High ],[],[],178717,Eveready LED Bulb,High,30613,LED Bulb,Medium,205947,Eveready Ceiling Lights,Medium,178716,Philips LED Bulb,Low,186413,Rechargeable LED Bulb,Low
KIDS School BAG,kids school bag,KIDS School BAG,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 96454   |   Kids School Bag   |   High || 8422   |   School Bags   |   Medium || 31304   |   Kids Bag   |   Medium ],alfa-info: [ 96454   |   kids school bag   |   High ],mars-info: [ 96454   |   Kids School Bag   |   High ],[],[],96454,Kids School Bag,High,8422,School Bags,Medium,31304,Kids Bag,Medium,24368,College Bag,Low,190850,Bags,Low
Fan Hook,fan hook,Fan Hook,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 161831   |   Fan Hook   |   High || 24728   |   Ceiling Hooks   |   Medium || 161499   |   D Hook   |   Medium ],alfa-info: [ 161831   |   fan hook   |   High ],mars-info: [ 161831   |   Fan Hook   |   High ],[],[],161831,Fan Hook,High,24728,Ceiling Hooks,Medium,161499,D Hook,Medium,69017,Fan Parts,Low,146982,Ceiling Fan Downrod,Low
Skin Serum,skin serum,Skin Serum,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 188629   |   Skin Serum   |   High || 188746   |   Anti Ageing Serum   |   Medium || 652077   |   Face Serum   |   Medium ],alfa-info: [ 188629   |   skin serum   |   High ],mars-info: [ 188629   |   Skin Serum   |   High ],[],[],188629,Skin Serum,High,188746,Anti Ageing Serum,High,652077,Face Serum,Medium,187642,Skin Lightening Cream,Low,178449,PCD Pharma Franchise,Low
mountain bike,mountain bike,mountain bike,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 33606   |   Mountain Bike   |   High || 105828   |   Bicycle   |   Medium || 28369   |   Foldable Bicycle   |   Medium ],alfa-info: [ 33606   |   mountain bike   |   High ],mars-info: [ 33606   |   Mountain Bike   |   High ],[],[],33606,Mountain Bike,High,105828,Bicycle,Medium,28369,Foldable Bicycle,Medium,27220,Electric Bicycle,Low,10452,Kids Bicycles,Low
Herbal Sexual Health Power Capsules,herbal sexual health power capsules,Herbal Sexual Health Power Capsules,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 151432   |   Herbal Sexual Health Power Capsules   |   High ],alfa-info: [ 151432   |   herbal sexual health power capsules   |   High ],mars-info: [ 151432   |   Herbal Sexual Health Power Capsules   |   High ],[],[],151432,Herbal Sexual Health Power Capsules,High,161148,Shilajit Capsule,Low,655778,Horse Power Capsule,Low,650520,Kamraj Capsules,Low,246147,Y-Spur Capsule,Low
Plastic Recycling Machine,plastic recycling machine,Plastic Recycling Machine,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 55981   |   Plastic Recycling Machine   |   High || 55982   |   Plastic Recycling Plant   |   High || 191437   |   Plastic Dana Making Machine   |   Medium ],alfa-info: [ 55981   |   plastic recycling machine   |   High ],mars-info: [ 55981   |   Plastic Recycling Machine   |   High ],[],[],55981,Plastic Recycling Machine,High,55982,Plastic Recycling Plant,High,191437,Plastic Dana Making Machine,Medium,153085,Plastic Scrap Grinder Machine,Low,137999,Plastic Granules Machine,Low
3 Ply Face Mask,3 ply face mask,3 Ply Face Mask,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 216615   |   3 Ply Face Mask   |   High || 26683   |   Disposable Face Mask   |   Medium || 216616   |   Non Woven Face Mask   |   Medium || 39273   |   Surgical Mask   |   Medium || 443986   |   Plasti Surge 3 Ply Face Mask   |   Medium ],alfa-info: [ 216615   |   3 ply face mask   |   High ],mars-info: [ 216615   |   3 Ply Face Mask   |   High ],[],[],216615,3 Ply Face Mask,High,26683,Disposable Face Mask,High,216616,Non Woven Face Mask,Medium,39273,Surgical Mask,Medium,443986,Plasti Surge 3 Ply Face Mask,Medium
coca cola cold drink,coca cola cold drink,coca cola cold drink,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 184905   |   Coca Cola Cold Drink   |   High || 80141   |   Cold Drink   |   High || 37025   |   Soft Drinks   |   Medium ],alfa-info: [ 184905   |   coca cola cold drink   |   High ],mars-info: [ 184905   |   Coca Cola Cold Drink   |   High ],[],[],184905,Coca Cola Cold Drink,High,80141,Cold Drink,Medium,37025,Soft Drinks,Medium,207174,Campa Cola Carbonated Drinks,Low,73171,Energy Drink,Low
Pumpkin,pumpkin,Pumpkin,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 114304   |   Pumpkin   |   High || 962   |   Fresh Vegetables   |   Medium ],alfa-info: [ 114304   |   pumpkin   |   High ],mars-info: [ 114304   |   Pumpkin   |   High ],[],[],114304,Pumpkin,High,962,Fresh Vegetables,Medium,29812,Green Peas,Low,34847,Pumpkin Seeds,Low,27062,Drumstick Vegetable,Low
Optical Profile Grinding Machine,optical profile grinding machine,Optical Profile Grinding Machine,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 138853   |   Optical Profile Grinding Machine   |   High ],alfa-info: [ 138853   |   optical profile grinding machine   |   High ],mars-info: [ 138853   |   Optical Profile Grinding Machine   |   High ],[],[],138853,Optical Profile Grinding Machine,High,18876,Head Surface Grinder,Low,13230,Cutter Grinder,Low,1174,Grinding Machines,Low,19578,Thread Grinder,Low
Whole Spices,whole spices,Whole Spices,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 191119   |   Whole Spices   |   High || 11877   |   Garam Masala   |   Medium || 122728   |   Masala   |   Medium ],alfa-info: [ 191119   |   whole spices   |   High ],mars-info: [ 191119   |   Whole Spices   |   High ],[],[],191119,Whole Spices,High,11877,Garam Masala,Medium,122728,Masala,Medium,4436,Badi Elaichi,Low,177237,Black Turmeric,Low
bike headlight doom,bike headlight doom,bike headlight doom,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 167478   |   Bike Headlight Doom   |   High || 178259   |   Motorcycle Headlight   |   Medium ],alfa-info: [ 167478   |   bike headlight doom   |   High ],mars-info: [ 167478   |   Bike Headlight Doom   |   High ],[],[],167478,Bike Headlight Doom,High,178259,Motorcycle Headlight,Medium,177195,Bike Headlight Visor,Low,15428,Car Fog Light Cover,Low,9075,Car Headlight Glass,Low
Car Air Compressor,car air compressor,Car Air Compressor,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 45888   |   Car Air Compressor   |   High ],alfa-info: [ 45888   |   car air compressor   |   High ],mars-info: [ 45888   |   Car Air Compressor   |   High ],[],[],45888,Car Air Compressor,High,1056,Air Compressor,Low,45885,Truck AC Compressor,Low,35391,Portable Air Compressor,Low,119118,Car AC Compressor,Low
Buprenorphine and Naloxone tablet,buprenorphine and naloxone tablet,Buprenorphine and Naloxone tablet,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 656487   |   Buprenorphine and Naloxone tablet   |   High || 365267   |   Buprenorphine Tablet   |   Medium ],alfa-info: [ 656487   |   buprenorphine and naloxone tablet   |   High ],mars-info: [ 656487   |   Buprenorphine and Naloxone tablet   |   High ],[],[],656487,Buprenorphine and Naloxone tablet,High,365267,Buprenorphine Tablet,High,114130,Naltrexone Tablets,Low,158612,Disulfiram Tablet,Low,230263,Acamprosate Calcium Tablet,Low
Kids Denim Jeans,kids denim jeans,Kids Denim Jeans,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 180394   |   Kids Denim Jeans   |   High || 15376   |   Kids Jeans   |   Medium ],alfa-info: [ 180394   |   kids denim jeans   |   High ],mars-info: [ 180394   |   Kids Denim Jeans   |   High ],[],[],180394,Kids Denim Jeans,High,15376,Kids Jeans,Medium,10491,Kids Wear,Low,78191,Blue Denim Jeans,Low,85465,Boys Fashion Jeans,Low
Industrial Plastic Bag,industrial plastic bag,Industrial Plastic Bag,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 85875   |   Industrial Plastic Bag   |   High || 7170   |   Polythene Bags   |   Medium ],alfa-info: [ 85875   |   industrial plastic bag   |   High ],mars-info: [ 85875   |   Industrial Plastic Bag   |   High ],[],[],85875,Industrial Plastic Bag,High,7170,Polythene Bags,Medium,6041,Plastic Carry Bag,Low,85876,LD Plastic Carry Bag,Low,1486,Polypropylene Bulk Bags,Low
Woollen Blanket,woollen blanket,Woollen Blanket,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 3555   |   Woollen Blanket   |   High || 218492   |   Sleepwell Woolen Blanket   |   Medium || 42199   |   Printed Blankets   |   Medium || 4453   |   Blankets   |   Medium || 224287   |   Springfit Woollen Blanket   |   Medium || 3133   |   Acrylic Blankets   |   Medium || 42208   |   Traditional Blankets   |   Medium ],alfa-info: [ 3555   |   woollen blanket   |   High ],mars-info: [ 3555   |   Woollen Blanket   |   High ],[],[],3555,Woollen Blanket,High,218492,Sleepwell Woolen Blanket,High,42199,Printed Blankets,Medium,4453,Blankets,Medium,224287,Springfit Woollen Blanket,Medium
Cotton Fabric Dyeing Service,cotton fabric dyeing service,Cotton Fabric Dyeing Service,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 169257   |   Cotton Fabric Dyeing Service   |   High || 171046   |   Knitted Fabric Dyeing Services   |   Medium || 20718   |   Fabric Dyeing Services   |   Medium ],alfa-info: [ 169257   |   cotton fabric dyeing service   |   High ],mars-info: [ 169257   |   Cotton Fabric Dyeing Service   |   High ],[],[],169257,Cotton Fabric Dyeing Service,High,171046,Knitted Fabric Dyeing Services,Medium,20718,Fabric Dyeing Services,Medium,2353,Screen Printing Services,Low,28191,Fabrication Works,Low
Drinking Water,drinking water,Drinking Water,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 6725   |   Drinking Water   |   High || 139360   |   Bottled Water   |   High || 342989   |   Alkaline Drinking Water   |   High || 185887   |   Bailley Mineral Water   |   Medium || 136575   |   Packaged Drinking Water   |   Medium || 5145   |   Mineral Water Bottle   |   Medium || 56043   |   Clear Packaged Drinking Water   |   Medium || 206746   |   Aqua Sure Packaged Drinking Water   |   Medium || 205350   |   Clear Drinking Water   |   Medium || 206744   |   Aqua Blue Packaged Drinking Water   |   Medium || 206800   |   Evian Packaged Drinking Water   |   Medium || 205394   |   Xalta Drinking Water   |   Medium || 210421   |   Frappe Packaged Drinking Water   |   Medium || 184299   |   Bisleri Mineral Water   |   Medium || 184125   |   Kinley Mineral Water   |   Medium || 184126   |   Aquafina Mineral Water   |   Medium || 186509   |   Himalayan Mineral Water   |   Medium || 184983   |   Kingfisher Mineral Water   |   Medium || 650955   |   Zamzam Water   |   Medium || 652114   |   Flavored Water   |   Medium || 655360   |   Evocus Black Water   |   Medium ],alfa-info: [ 6725   |   drinking water   |   High ],mars-info: [ 6725   |   Drinking Water   |   High ],[],[],6725,Drinking Water,High,139360,Bottled Water,Medium,342989,Alkaline Drinking Water,Medium,185887,Bailley Mineral Water,Medium,184126,Aquafina Mineral Water,Medium
Samsung Mobile Phones,samsung mobile phones,Samsung Mobile Phones,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 180896   |   Samsung Mobile Phones   |   High || 5190   |   Mobile Phones   |   High || 184857   |   Samsung Smart Phone   |   Medium || 19240   |   Smart Phone   |   Medium ],alfa-info: [ 180896   |   samsung mobile phones   |   High ],mars-info: [ 180896   |   Samsung Mobile Phones   |   High ],[],[],180896,Samsung Mobile Phones,High,5190,Mobile Phones,Medium,184857,Samsung Smart Phone,Medium,19240,Smart Phone,Medium,179822,Apple iPhone,Low
Sugarcane,sugarcane,Sugarcane,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 39263   |   Sugarcane   |   High ],alfa-info: [ 39263   |   sugarcane   |   High ],mars-info: [ 39263   |   Sugarcane   |   High ],[],[],39263,Sugarcane,High,149861,Sugarcane Juice Machine,Low,105916,Sugar,Low,41062,Watermelon,Low,102078,Gud Jaggery,Low
Vertical Garden Landscaping Services,vertical garden landscaping services,Vertical Garden Landscaping Services,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 174323   |   Vertical Garden Landscaping Services   |   High || 168360   |   Garden Landscaping Services   |   Medium ],alfa-info: [ 174323   |   vertical garden landscaping services   |   High ],mars-info: [ 174323   |   Vertical Garden Landscaping Services   |   High ],[],[],174323,Vertical Garden Landscaping Services,High,168360,Garden Landscaping Services,High,140965,Vertical Garden,Low,31517,Landscape Design,Low,42064,Landscaping Services,Low
CNG Auto Rickshaw,cng auto rickshaw,CNG Auto Rickshaw,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 142233   |   CNG Auto Rickshaw   |   High || 184882   |   Bajaj Auto Rickshaw   |   Medium || 192488   |   Ape Auto   |   Medium || 179400   |   Passenger Auto   |   Medium ],alfa-info: [ 142233   |   cng auto rickshaw   |   High ],mars-info: [ 142233   |   CNG Auto Rickshaw   |   High ],[],[],142233,CNG Auto Rickshaw,High,184882,Bajaj Auto Rickshaw,Medium,192488,Ape Auto,Medium,179400,Passenger Auto,Medium,2419,Three Wheelers,Low
Meat Masala,meat masala,Meat Masala,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 181500   |   Meat Masala   |   High || 122728   |   Masala   |   Medium || 3766   |   Chicken Masala   |   Medium || 5316   |   Mutton Masala   |   Medium || 652726   |   Everest Meat Masala   |   Medium ],alfa-info: [ 181500   |   meat masala   |   High ],mars-info: [ 181500   |   Meat Masala   |   High ],[],[],181500,Meat Masala,High,122728,Masala,Medium,3766,Chicken Masala,Medium,652726,Everest Meat Masala,Medium,5316,Mutton Masala,Medium
Sunscreen Lotion,sunscreen lotion,Sunscreen Lotion,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 2822   |   Sunscreen Lotion   |   High || 39114   |   Sunscreen   |   Medium || 2819   |   Sun Protection Cream   |   Medium || 653642   |   VLCC Sunscreen   |   Medium || 653643   |   Lotus Herbals Sunscreen   |   Medium ],alfa-info: [ 2822   |   sunscreen lotion   |   High ],mars-info: [ 2822   |   Sunscreen Lotion   |   High ],[],[],2822,Sunscreen Lotion,High,39114,Sunscreen,High,2819,Sun Protection Cream,Medium,653642,VLCC Sunscreen,Medium,653643,Lotus Herbals Sunscreen,Medium
Cummins Generators,cummins generators,Cummins Generators,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 11271   |   Cummins Generators   |   High || 69789   |   Generator   |   High || 182498   |   Cummins Diesel Generator & DG set   |   Medium || 37848   |   Silent Diesel Generator   |   Medium ],alfa-info: [ 11271   |   cummins generators   |   High ],mars-info: [ 11271   |   Cummins Generators   |   High ],[],[],11271,Cummins Generators,High,69789,Generator,Medium,182498,Cummins Diesel Generator & DG set,Medium,37848,Silent Diesel Generator,Medium,13467,Diesel Generator,Low
Floor Wiper,floor wiper,Floor Wiper,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 28331   |   Floor Wiper   |   High || 226768   |   Plastic Floor Wiper   |   Medium || 183057   |   Kitchen Wiper   |   Medium || 235479   |   Stainless Steel Wiper   |   Medium ],alfa-info: [ 28331   |   floor wiper   |   High ],mars-info: [ 28331   |   Floor Wiper   |   High ],[],[],28331,Floor Wiper,High,226768,Plastic Floor Wiper,Medium,183057,Kitchen Wiper,Medium,235479,Stainless Steel Wiper,Medium,24942,Mop,Low
HDPE Pipe,hdpe pipe,HDPE Pipe,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 222298   |   HDPE Pipe   |   High || 182718   |   Agricultural HDPE Pipe   |   High || 2046   |   Underground HDPE Pipes   |   High || 183737   |   HDPE Water Pipe   |   High || 221935   |   Dutron HDPE Pipe   |   Medium || 18145   |   Polyethylene Pipe   |   Medium || 221201   |   Eonn Plast HDPE Pipes   |   Medium || 221964   |   Kisan HDPE Pipe   |   Medium || 221959   |   Jain HDPE Pipe   |   Medium || 221883   |   Mangalam HDPE Pipe   |   Medium || 221952   |   Sudhakar HDPE Pipe   |   Medium || 221903   |   APL Apollo HDPE Pipe   |   Medium || 221913   |   Kothari HDPE Pipe   |   Medium || 221918   |   Ori Plast HDPE Pipe   |   Medium || 221895   |   Vahini HDPE Pipe   |   Medium || 221200   |   Balaji Polytech HDPE Pipes   |   Medium || 221198   |   Berlia HDPE Pipes   |   Medium || 221925   |   CRI HDPE Pipe   |   Medium || 218674   |   Techpack HDPE Pipes   |   Medium || 30138   |   HDPE Pipe Fittings   |   Medium || 80415   |   HDPE Double Wall Corrugated Pipe   |   Medium || 190761   |   HDPE Flexible Pipe   |   Medium || 651771   |   HDPE Perforated Pipe   |   Medium ],alfa-info: [ 222298   |   hdpe pipe   |   High ],mars-info: [ 222298   |   HDPE Pipe   |   High ],[],[],222298,HDPE Pipe,High,182718,Agricultural HDPE Pipe,Medium,2046,Underground HDPE Pipes,Medium,183737,HDPE Water Pipe,Medium,221935,Dutron HDPE Pipe,Medium
Hot Wheels Toys,hot wheels toys,Hot Wheels Toys,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 656865   |   Hot Wheels Toys   |   High || 40117   |   Toy Vehicles   |   High || 100625   |   Die Cast Toy   |   Medium || 24146   |   Toy Car   |   Medium || 20595   |   Kids Toys   |   Medium ],alfa-info: [ 656865   |   hot wheels toys   |   High || 50332   |   free wheel toy   |   Medium || 20595   |   kids toys   |   Medium ],mars-info: [ 50332   |   Free Wheel Toy   |   Medium || 20595   |   Kids Toys   |   Low || 40117   |   Toy Vehicles   |   Low ],[],[],656865,Hot Wheels Toys,High,50332,Free Wheel Toy,Medium,20595,Kids Toys,Medium,40117,Toy Vehicles,Medium,100625,Die Cast Toy,Medium
Refrigerator Display Case,refrigerator display case,Refrigerator Display Case,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 90284   |   Refrigerator Display Case   |   High || 26659   |   Food & Bakery Display Counter   |   Medium ],alfa-info: [ 90284   |   refrigerator display case   |   High ],mars-info: [ 90284   |   Refrigerator Display Case   |   High ],[],[],90284,Refrigerator Display Case,High,26659,Food & Bakery Display Counter,Medium,152189,Sweet Display Counter,Low,167123,SS Display Counter,Low,148667,Cake Display Counter,Low
Three Phase Induction Motor,three phase induction motor,Three Phase Induction Motor,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 131725   |   Three Phase Induction Motor   |   High || 52930   |   Three Phase Electric Motor   |   Medium || 2415   |   Three Phase Motor   |   Medium || 10971   |   Induction Motors   |   Medium || 216549   |   Second Hand and Used Induction Motors   |   Medium ],alfa-info: [ 131725   |   three phase induction motor   |   High ],mars-info: [ 131725   |   Three Phase Induction Motor   |   High ],[],[],131725,Three Phase Induction Motor,High,52930,Three Phase Electric Motor,Medium,2415,Three Phase Motor,Medium,10971,Induction Motors,Medium,216549,Second Hand and Used Induction Motors,Medium
Dysport Injection,dysport injection,Dysport Injection,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 192984   |   Dysport Injection   |   High ],alfa-info: [ 192984   |   dysport injection   |   High ],mars-info: [ 192984   |   Dysport Injection   |   High ],[],[],192984,Dysport Injection,High,445084,Carisoprodol Tablets,Low,180034,Botox Injection,Low,185237,Pain O soma,Low,446078,Mefenamic Acid Dicyclomine Hydrochloride Tablet,Low
Soda Filling Machines,soda filling machines,Soda Filling Machines,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 167664   |   Soda Filling Machines   |   High || 4559   |   Bottle Filling Machines   |   Medium || 122663   |   Carbonated Soft Drink Plant   |   Medium ],alfa-info: [ 167664   |   soda filling machines   |   High ],mars-info: [ 167664   |   Soda Filling Machines   |   High ],[],[],167664,Soda Filling Machines,High,4559,Bottle Filling Machines,Medium,122663,Carbonated Soft Drink Plant,Medium,19285,Soda Maker,Low,36988,Soda Vending Machine,Low
cotton fabric,cotton fabric,cotton fabric,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 1318   |   Cotton Fabric   |   High || 35731   |   Printed Cotton Fabric   |   Medium || 105859   |   Fabric   |   Medium || 126362   |   Plain Cotton Fabric   |   Medium || 7103   |   Polycotton Fabric   |   Medium || 187736   |   Cambric Cotton Fabric   |   Medium || 7568   |   Organic Cotton Fabric   |   Medium || 156206   |   Giza Cotton Fabric   |   Medium || 191747   |   Lawn Cotton Fabric   |   Medium || 156196   |   Egyptian Cotton Fabric   |   Medium || 183816   |   Cotton Fleece Fabric   |   Medium || 7434   |   Nylon Fabric   |   Medium || 178833   |   Khadi Fabric   |   Medium || 445968   |   Dyeable Fabric   |   Medium || 167100   |   Brasso Fabric   |   Medium || 184159   |   Siyarams Shirting Fabrics   |   Medium || 446113   |   Hakoba Fabric   |   Medium || 443745   |   Jamdani Fabric   |   Medium || 655493   |   Recycled Fabric   |   Medium || 656324   |   Kashmiri Cotton Dress Material   |   Medium || 44040   |   Shoe Fabric   |   Medium ],alfa-info: [ 1318   |   cotton fabric   |   High ],mars-info: [ 1318   |   Cotton Fabric   |   High ],[],[],1318,Cotton Fabric,High,35731,Printed Cotton Fabric,High,105859,Fabric,Medium,184159,Siyarams Shirting Fabrics,Medium,7103,Polycotton Fabric,Medium
dj mixer,dj mixer,dj mixer,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 45852   |   DJ Mixer   |   High || 94666   |   DJ Equipment   |   Medium || 4954   |   Audio Mixers   |   Medium || 655547   |   Studiomaster Mixer   |   Medium || 186694   |   Pioneer DJ Mixer   |   Medium || 655542   |   Ahuja Mixer   |   Medium ],alfa-info: [ 45852   |   dj mixer   |   High ],mars-info: [ 45852   |   DJ Mixer   |   High ],[],[],45852,DJ Mixer,High,94666,DJ Equipment,Medium,4954,Audio Mixers,Medium,655542,Ahuja Mixer,Medium,186694,Pioneer DJ Mixer,Medium
Laundry Dryer,laundry dryer,Laundry Dryer,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 16996   |   Laundry Dryer   |   High || 19528   |   Tumble Dryer   |   Medium || 43186   |   Drying Tumbler   |   Medium || 25031   |   Clothes Dryer   |   Medium ],alfa-info: [ 16996   |   laundry dryer   |   High ],mars-info: [ 16996   |   Laundry Dryer   |   High ],[],[],16996,Laundry Dryer,High,19528,Tumble Dryer,Medium,43186,Drying Tumbler,Medium,25031,Clothes Dryer,Medium,11370,Laundry Washing Machine,Low
polythene bags,polythene bags,polythene bags,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 7170   |   Polythene Bags   |   High || 1484   |   Plastic Bags   |   Medium || 50110   |   Biodegradable Plastic Bag   |   Medium || 85875   |   Industrial Plastic Bag   |   Medium ],alfa-info: [ 7170   |   polythene bags   |   High ],mars-info: [ 7170   |   Polythene Bags   |   High ],[],[],7170,Polythene Bags,High,1484,Plastic Bags,Medium,50110,Biodegradable Plastic Bag,Medium,85875,Industrial Plastic Bag,Medium,6041,Plastic Carry Bag,Low
